,,auc,f1,f1micro,f1macro,train_file
1.87562701,21,0.91742434,0.95820267,0.927634396,0.844419971,Epinions-1-softmax-0.15-0.45-0.99-0.98.csv
1.88041455,11,0.924405473,0.956009077,0.92425666,0.84187603,Epinions-1-softmax-0.15-0.3-1-0.97.csv
1.880435001,25,0.917864343,0.962570658,0.935067793,0.858866781,Epinions-1-softmax-0.15-0.45-1-1.csv
1.880451485,27,0.920267933,0.960183552,0.930857517,0.848876338,Epinions-1-softmax-0.15-0.5-0.99-0.99.csv
1.881379138,0,0.919984036,0.961395102,0.932926974,0.852977021,Epinions-1-softmax-0.1-0.45-0.99-0.99.csv
1.88140513,24,0.921337021,0.960068109,0.930827783,0.850858504,Epinions-1-softmax-0.15-0.45-1-0.99.csv
1.881662332,20,0.9216552,0.960007132,0.930637488,0.849440299,Epinions-1-softmax-0.15-0.45-0.98-0.99.csv
1.882081798,19,0.919563747,0.962518052,0.935020219,0.859286843,Epinions-1-softmax-0.15-0.44-1-1.csv
1.88394594,29,0.924578786,0.959367154,0.92974548,0.850058824,Epinions-1-softmax-0.2-0.45-0.99-0.99.csv
1.884685775,23,0.92194408,0.962741695,0.935394862,0.859941957,Epinions-1-softmax-0.15-0.45-0.99-1.csv
1.884954776,28,0.924788342,0.960166434,0.931000238,0.851255468,Epinions-1-softmax-0.16-0.45-0.99-0.99.csv
1.885713159,12,0.928308905,0.957404254,0.926671028,0.847047881,Epinions-1-softmax-0.15-0.3-1-0.98.csv
1.885939711,26,0.925550261,0.96038945,0.931339201,0.851425096,Epinions-1-softmax-0.15-0.46-0.99-0.99.csv
1.886542763,1,0.926017711,0.960525052,0.931541389,0.851469901,Epinions-1-softmax-0.14-0.45-0.99-0.99.csv
1.886814101,22,0.926475402,0.960338699,0.931255947,0.851301072,Epinions-1-softmax-0.15-0.45-0.99-0.99.csv
1.886825962,7,0.926932169,0.959893793,0.930655328,0.851992456,Epinions-1-softmax-0.15-0.3-0.97-1.csv
1.887796286,18,0.92746068,0.960335606,0.931291627,0.851864156,Epinions-1-softmax-0.15-0.44-0.99-0.99.csv
1.890394265,17,0.930626582,0.959767683,0.930465033,0.851904068,Epinions-1-softmax-0.15-0.4-0.99-0.99.csv
1.891990963,13,0.932348127,0.959642836,0.930548287,0.855388764,Epinions-1-softmax-0.15-0.3-1-0.99.csv
1.893772782,16,0.934165193,0.959607589,0.930316365,0.853029517,Epinions-1-softmax-0.15-0.35-0.99-0.99.csv
1.894243304,14,0.932783166,0.961460138,0.933598953,0.860907774,Epinions-1-softmax-0.15-0.3-1-1.csv
1.894414374,8,0.933694988,0.960719386,0.932278782,0.857660042,Epinions-1-softmax-0.15-0.3-0.98-1.csv
1.895028587,10,0.933422737,0.961605849,0.933801142,0.8607943,Epinions-1-softmax-0.15-0.3-0.99-1.csv
1.895641044,15,0.936101276,0.959539768,0.930322312,0.854392693,Epinions-1-softmax-0.15-0.31-0.99-0.99.csv
1.896109874,9,0.936630248,0.959479626,0.930245005,0.854515626,Epinions-1-softmax-0.15-0.3-0.99-0.99.csv
1.8964127,6,0.93696552,0.95944718,0.930203378,0.854582317,Epinions-1-softmax-0.15-0.29-0.99-0.99.csv
1.896947501,5,0.937713379,0.959234123,0.929882255,0.854402016,Epinions-1-softmax-0.15-0.25-0.99-0.99.csv
1.897887034,4,0.939008995,0.958878039,0.92932921,0.853884356,Epinions-1-softmax-0.15-0.2-0.99-0.99.csv
1.898297102,3,0.939676293,0.958620809,0.928918887,0.85337004,Epinions-1-softmax-0.15-0.15-0.99-0.99.csv
1.898500391,2,0.939924279,0.958576112,0.928847526,0.853279673,Epinions-1-softmax-0.15-0.1-0.99-0.99.csv
1.899436333,30,0.935408989,0.964027344,0.937696242,0.865785943,Epinions-train-1.csv
,,,,,,
,,,,,,
1.86963,0,0.913548,0.956082,0.923484,0.829615,Epinions-1-softmax-0-0-0.95-1.csv
1.867367,1,0.918765,0.948602,0.912006,0.821525,Epinions-1-softmax-0-0-1-0.95.csv
1.896121,2,0.932683,0.963438,0.93659,0.862385,Epinions-1-softmax-0-0.05-1-1.csv
1.896866,3,0.933914,0.962952,0.935847,0.861965,Epinions-1-softmax-0.05-0-1-1.csv
